Year,ICD10_Code,ICD10_Diagnosis,Classification,Metric_Primary,Metric_Secondary,Metric_Tertiary,Value
2014/15,All,All admissions,Hospital admissions,Number of admissions,All admissions,All persons,11011882
2014/15,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,All persons,1713330
2014/15,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,All persons,1691035
2014/15,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,All persons,611002
2014/15,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,All persons,907157
2014/15,K00-K93,All diseases of the digestive system,Hospital admissions,Number of admissions,All diseases of the digestive system,All persons,1460719
2014/15,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,88408
2014/15,C00-C14,Upper Respiratory Sites,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,21715
2014/15,C15,Oesophagus,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,29703
2014/15,C32,Larynx,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,4625
2014/15,C53,Cervical,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,6559
2014/15,C67,Bladder,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,68257
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,15426
2014/15,C16,Stomach,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,19125
2014/15,C25,Pancreas,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,26790
2014/15,C80,Unspecified Site,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,8245
2014/15,C92,Myeloid Leukaemia,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,43135
2014/15,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,5880
2014/15,J44,Chronic Airway Obstruction,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,121947
